COPE_Number,1_COPE,2_COPE,3_COPE,4_COPE,5_COPE,6_COPE,7_COPE,8_COPE,9_COPE,10_COPE,11_COPE,12_COPE,13_COPE,14_COPE,15_COPE
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,0.5,0,0,0.5,0,0,0,0,0,0,0,0,-1,0,0
17,0,0,0,0,0,0,0.5,0,0,0.5,0,0,-1,0,0
18,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
19,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0
20,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0
21,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0
22,0.5,0,0,0.5,0,0,-0.5,0,0,-0.5,0,0,0,0,0
23,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0
25,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0
27,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
28,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0
29,0,0.5,-0.5,0,0.5,-0.5,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0.5,-0.5,0,0.5,-0.5,0,0,0
31,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1
36,0,0.5,-0.5,0,0,0,0,0,0,0,0,0,0,0.5,-0.5
37,0,0,0,0,0.5,-0.5,0,0,0,0,0,0,0,0.5,-0.5
38,0,0,0,0,0,0,0,0.5,-0.5,0,0,0,0,0.5,-0.5
39,0,0,0,0,0,0,0,0,0,0,0.5,-0.5,0,0.5,-0.5
40,0,0.25,-0.25,0,0.25,-0.25,0,0,0,0,0,0,0,0.5,-0.5
41,0,0,0,0,0,0,0,0.25,-0.25,0,0.25,-0.25,0,0.5,-0.5
